"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 14:25:08 GMT 2022","Thu Oct 20 14:25:10 GMT 2022","1896","chromium","dou.spec.js","","","","homepage has DOU in title and get started link linking to the intro page",""
"passed","Thu Oct 20 14:25:11 GMT 2022","Thu Oct 20 14:25:13 GMT 2022","1546","chromium","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Thu Oct 20 14:25:10 GMT 2022","Thu Oct 20 14:25:11 GMT 2022","1222","chromium","dou2.spec.js","","","","homepage has DOU in title and get started link linking to the intro page",""
