"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 14:25:28 GMT 2022","Thu Oct 20 14:25:30 GMT 2022","1299","chromium","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Thu Oct 20 14:25:27 GMT 2022","Thu Oct 20 14:25:28 GMT 2022","1295","chromium","dou2.spec.js","","","","homepage has DOU in title and get started link linking to the intro page",""
"passed","Thu Oct 20 14:25:25 GMT 2022","Thu Oct 20 14:25:27 GMT 2022","2187","chromium","dou.spec.js","","","","homepage has DOU in title and get started link linking to the intro page",""
